Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1653,1653,6,6,1650,-58.7388,
1653,1653,8,8,1650,-58.7375,
1654,1654,0,0,1650,-58.7378,
1654,1654,2,2,1650,-58.7398,
1654,1654,4,4,1650,-58.7382,
1654,1654,6,6,1650,-58.738,
1654,1654,8,8,1650,-58.7383,
1655,1655,0,0,1650,-58.7383,
1655,1655,2,2,1650,-58.7388,
1655,1655,4,4,1650,-58.7374,
1655,1655,6,6,1650,-58.7382,
1655,1655,8,8,1650,-58.7376,
1656,1656,0,0,1650,-58.7361,
1656,1656,2,2,1650,-58.7372,
1656,1656,4,4,1650,-58.7384,
1656,1656,6,6,1650,-58.7386,
1656,1656,8,8,1650,-58.7375,
1657,1657,0,0,1650,-58.7377,
1657,1657,2,2,1650,-58.739,
1657,1657,4,4,1650,-58.7387,
1657,1657,6,6,1650,-58.7393,
1657,1657,8,8,1650,-58.7382,
1658,1658,0,0,1650,-58.7385,
1658,1658,2,2,1650,-58.7384,
1658,1658,4,4,1650,-58.7381,
1658,1658,6,6,1650,-58.7378,
1658,1658,8,8,1650,-58.7371,
1659,1659,0,0,1650,-58.7392,
1659,1659,2,2,1650,-58.7393,
1659,1659,4,4,1650,-58.7385,
1659,1659,6,6,1650,-58.7372,
1659,1659,8,8,1650,-58.7379,
1660,1660,0,0,1650,-58.7389,
1660,1660,2,2,1650,-58.7393,
1660,1660,4,4,1650,-58.7375,
1660,1660,6,6,1650,-58.7375,
1660,1660,8,8,1650,-58.7369,
1661,1661,0,0,1650,-58.7367,
1661,1661,2,2,1650,-58.7367,
1661,1661,4,4,1650,-58.7356,
1661,1661,6,6,1650,-58.7374,
1661,1661,8,8,1650,-58.7359,
1662,1662,0,0,1650,-58.7373,
1662,1662,2,2,1650,-58.7367,
1662,1662,4,4,1650,-58.7378,
1662,1662,6,6,1650,-58.7382,
1662,1662,8,8,1650,-58.7365,
1663,1663,0,0,1650,-58.737,
1663,1663,2,2,1650,-58.7366,
1663,1663,4,4,1650,-58.7375,
1663,1663,6,6,1650,-58.7378,
1663,1663,8,8,1650,-58.7358,
1664,1664,0,0,1650,-58.7376,
1664,1664,2,2,1650,-58.7374,
1664,1664,4,4,1650,-58.7379,
1664,1664,6,6,1650,-58.7365,
1664,1664,8,8,1650,-58.7362,
1665,1665,0,0,1650,-58.736,
1665,1665,2,2,1650,-58.7383,
1665,1665,4,4,1650,-58.7357,
1665,1665,6,6,1650,-58.736,
1665,1665,8,8,1650,-58.7365,
1666,1666,0,0,1650,-58.7358,
1666,1666,2,2,1650,-58.7377,
1666,1666,4,4,1650,-58.7377,
1666,1666,6,6,1650,-58.7379,
1666,1666,8,8,1650,-58.7368,
1667,1667,0,0,1650,-58.7371,
1667,1667,2,2,1650,-58.7382,
1667,1667,4,4,1650,-58.7375,
1667,1667,6,6,1650,-58.7377,
1667,1667,8,8,1650,-58.7379,
1668,1668,0,0,1650,-58.7389,
1668,1668,2,2,1650,-58.7387,
1668,1668,4,4,1650,-58.7355,
1668,1668,6,6,1650,-58.7378,
1668,1668,8,8,1650,-58.7369,
1669,1669,0,0,1650,-58.7374,
1669,1669,2,2,1650,-58.7385,
1669,1669,4,4,1650,-58.7395,
1669,1669,6,6,1650,-58.7378,
1669,1669,8,8,1650,-58.7374,
1670,1670,0,0,1650,-58.7377,
1670,1670,2,2,1650,-58.7378,
1670,1670,4,4,1650,-58.7372,
1670,1670,6,6,1650,-58.7387,
1670,1670,8,8,1650,-58.7383,
1671,1671,0,0,1650,-58.738,
1671,1671,2,2,1650,-58.7371,
1671,1671,4,4,1650,-58.7381,
1671,1671,6,6,1650,-58.7392,
1671,1671,8,8,1650,-58.7382,
1672,1672,0,0,1650,-58.7378,
1672,1672,2,2,1650,-58.7393,
