T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1360,1.9,1.9,1360,-84.7503,
1360,2,2,1360,-84.5196,
1360,2.1,2.1,1360,-84.58,
1360,2.2,2.2,1360,-84.5308,
1360,2.3,2.31,1360,-84.6269,
1360,2.4,2.4,1360,-85.2435,
1360,2.5,2.5,1360,-85.2155,
1360,2.6,2.6,1360,-85.6257,
1360,2.7,2.7,1360,-84.6255,
1360,2.8,2.8,1360,-84.8485,
1360,2.9,2.9,1360,-85.3132,
1360,3,3,1360,-84.972,
1360,3.1,3.1,1360,-84.9091,
1360,3.2,3.2,1360,-84.9751,
1360,3.3,3.3,1360,-84.4932,
1360,3.4,3.4,1360,-84.9876,
1360,3.5,3.5,1360,-84.6962,
1360,3.6,3.6,1360,-84.6976,
1360,3.7,3.7,1360,-84.6773,
1360,3.8,3.8,1360,-84.8439,
1360,3.9,3.9,1360,-84.3621,
1360,4,4,1360,-84.7107,
1360,4.1,4.1,1360,-84.5928,
1360,4.2,4.2,1360,-84.6802,
1360,4.3,4.3,1360,-84.7695,
1360,4.4,4.4,1360,-84.5434,
1360,4.5,4.5,1360,-84.7136,
1360,4.6,4.6,1360,-84.5857,
1360,4.7,4.7,1360,-84.6557,
1360,4.8,4.8,1360,-84.5928,
1360,4.9,4.9,1360,-84.759,
1360,5,5,1360,-84.8953,
1360,5.1,5.1,1360,-84.5322,
1360,5.2,5.2,1360,-85.0125,
1360,5.3,5.3,1360,-85.2025,
1360,5.4,5.4,1360,-84.8499,
1360,5.5,5.5,1360,-84.7606,
1360,5.6,5.4,1360,-84.5196,
1360,5.7,5.17,1360,-84.6184,
1360,5.8,5.01,1360,-84.5857,
1360,5.9,4.89,1360,-84.6889,
1360,6,4.8,1360,-84.9705,
1360,6.1,4.72,1360,-84.969,
1360,6.2,4.67,1360,-84.4135,
1360,6.3,4.63,1360,-84.7931,
1360,6.4,4.59,1360,-84.5294,
1360,6.5,4.57,1360,-84.6701,
1360,6.6,4.54,1360,-85.1168,
1360,6.7,4.53,1360,-84.7782,
1360,6.8,4.51,1360,-84.4973,
1360,6.9,4.49,1360,-84.58,
1360,7,4.48,1360,-84.3379,
1365,-6.9,-6.86,1365,-85.0612,
1365,-6.8,-6.82,1365,-85.3243,
1365,-6.7,-6.73,1365,-84.9299,
1365,-6.6,-6.6,1365,-85.0979,
1365,-6.5,-6.53,1365,-84.6334,
1365,-6.4,-6.39,1365,-84.5656,
1365,-6.3,-6.3,1365,-84.0215,
1365,-6.2,-6.23,1365,-84.4424,
1365,-6.1,-6.12,1365,-85.049,
1365,-6,-5.99,1365,-84.8214,
1365,-5.9,-5.91,1365,-84.4017,
1365,-5.8,-5.8,1365,-85.1893,
1365,-5.7,-5.74,1365,-84.7505,
1365,-5.6,-5.61,1365,-84.9482,
1365,-5.5,-5.5,1365,-84.9025,
1365,-5.4,-5.39,1365,-84.4615,
1365,-5.3,-5.28,1365,-84.5098,
1365,-5.2,-5.24,1365,-84.8243,
1365,-5.1,-5.13,1365,-84.8662,
1365,-5,-5.03,1365,-85.351,
1365,-4.9,-4.93,1365,-85.1314,
1365,-4.8,-4.82,1365,-84.3292,
1365,-4.7,-4.68,1365,-85.1043,
1365,-4.6,-4.6,1365,-84.979,
1365,-4.5,-4.49,1365,-85.0742,
1365,-4.4,-4.42,1365,-84.9775,
1365,-4.3,-4.32,1365,-85.2975,
1365,-4.2,-4.2,1365,-84.5112,
1365,-4.1,-4.11,1365,-84.9528,
1365,-4,-3.99,1365,-84.6922,
1365,-3.9,-3.91,1365,-85.1138,
1365,-3.8,-3.79,1365,-84.3626,
1365,-3.7,-3.72,1365,-85.0521,
1365,-3.6,-3.63,1365,-85.0932,
1365,-3.5,-3.51,1365,-84.6192,
1365,-3.4,-3.4,1365,-84.4601,
1365,-3.3,-3.3,1365,-84.632,
1365,-3.2,-3.19,1365,-84.4918,
1365,-3.1,-3.09,1365,-84.5431,
1365,-3,-3,1365,-85.0115,
1365,-2.9,-2.9,1365,-84.7917,
1365,-2.8,-2.81,1365,-84.5599,
1365,-2.7,-2.69,1365,-84.5951,
1365,-2.6,-2.6,1365,-84.9375,
1365,-2.5,-2.49,1365,-84.6107,
1365,-2.4,-2.41,1365,-84.9559,
1365,-2.3,-2.29,1365,-84.7769,
1365,-2.2,-2.22,1365,-84.6764,
1365,-2.1,-2.12,1365,-84.6492,
1365,-2,-2.01,1365,-84.6362,
1365,-1.9,-1.91,1365,-84.802,
1365,-1.8,-1.82,1365,-84.642,
1365,-1.7,-1.7,1365,-85.0631,
1365,-1.6,-1.6,1365,-85.0521,
1365,-1.5,-1.51,1365,-85.0007,
1365,-1.4,-1.4,1365,-84.9177,
1365,-1.3,-1.3,1365,-84.959,
1365,-1.2,-1.2,1365,-85.1234,
1365,-1.1,-1.1,1365,-85.1474,
1365,-1,-1,1365,-85.0381,
1365,-0.9,-0.9,1365,-84.7212,
1365,-0.8,-0.8,1365,-84.219,
1365,-0.7,-0.71,1365,-84.4519,
1365,-0.6,-0.6,1365,-84.3707,
1365,-0.5,-0.51,1365,-84.6064,
1365,-0.4,-0.4,1365,-84.5417,
1365,-0.3,-0.3,1365,-84.7126,
1365,-0.2,-0.19,1365,-84.8995,
1365,-0.1,-0.09,1365,-84.962,
1365,-8.13238e-15,-0.1,1365,-84.4807,
1365,0.1,0.09,1365,-84.642,
1365,0.2,0.2,1365,-84.9743,
1365,0.3,0.31,1365,-84.8752,
1365,0.4,0.39,1365,-85.301,
1365,0.5,0.5,1365,-84.7242,
1365,0.6,0.6,1365,-84.4629,
1365,0.7,0.7,1365,-84.5951,
1365,0.8,0.8,1365,-84.9575,
1365,0.9,0.9,1365,-84.605,
