T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1470,-0.05,1470.0884,-0.370,+3.70434200E-011
1470,-0.05,1470.0883,-0.410,+3.68411400E-011
1470,-0.04,1470.0883,-0.400,+3.73185100E-011
1470,-0.05,1470.0882,-0.350,+3.70329400E-011
1470,-0.05,1470.0882,-0.360,+3.66597400E-011
1470,-0.05,1470.0882,-0.320,+3.67525100E-011
1470,-0.05,1470.0881,-0.320,+3.70140600E-011
1470,-0.05,1470.0880,-0.390,+3.63939100E-011
1470,-0.05,1470.0880,-0.320,+3.68723200E-011
1470,-0.05,1470.0880,-0.350,+3.70390800E-011
1470,-0.04,1470.0880,-0.370,+3.65784000E-011
1470,-0.05,1470.0879,-0.330,+3.67409600E-011
1470,-0.05,1470.0879,-0.370,+3.64355900E-011
1470,-0.05,1470.0878,-0.350,+3.69543400E-011
1470,-0.05,1470.0878,-0.390,+3.68562600E-011
1470,-0.05,1470.0878,-0.370,+3.65466900E-011
1470,-0.05,1470.0877,-0.360,+3.67434100E-011
1470,-0.05,1470.0877,-0.380,+3.67776100E-011
1470,-0.04,1470.0876,-0.350,+3.61661900E-011
1470,-0.05,1470.0876,-0.380,+3.69250500E-011
1470,-0.04,1470.0875,-0.300,+3.62378100E-011
1470,-0.05,1470.0875,-0.390,+3.66759100E-011
1470,-0.05,1470.0875,-0.360,+3.70690100E-011
1470,-0.05,1470.0874,-0.330,+3.71104000E-011
1470,-0.05,1470.0874,-0.330,+3.67450300E-011
1470,-0.05,1470.0873,-0.330,+3.66128000E-011
1470,-0.04,1470.0873,-0.360,+3.70348500E-011
1470,-0.04,1470.0873,-0.400,+3.66020700E-011
1470,-0.04,1470.0872,-0.430,+3.67661600E-011
1470,-0.04,1470.0872,-0.350,+3.66193800E-011
1470,-0.05,1470.0872,-0.380,+3.64996700E-011
1470,-0.05,1470.0871,-0.330,+3.67167100E-011
1470,-0.04,1470.0871,-0.330,+3.69336100E-011
1470,-0.04,1470.0870,-0.380,+3.64996900E-011
1470,-0.04,1470.0870,-0.360,+3.69104100E-011
1470,-0.04,1470.0870,-0.360,+3.66883600E-011
1470,-0.04,1470.0869,-0.410,+3.67863600E-011
1470,-0.04,1470.0869,-0.370,+3.67991300E-011
1470,-0.04,1470.0869,-0.390,+3.66872800E-011
1470,-0.04,1470.0868,-0.290,+3.68278300E-011
1470,-0.04,1470.0868,-0.370,+3.69662200E-011
1470,-0.05,1470.0868,-0.370,+3.67858500E-011
1470,-0.04,1470.0867,-0.390,+3.63728000E-011
1470,-0.04,1470.0867,-0.360,+3.68778600E-011
1470,-0.04,1470.0866,-0.380,+3.66548800E-011
1470,-0.05,1470.0866,-0.360,+3.67320700E-011
1470,-0.05,1470.0866,-0.400,+3.62755300E-011
1470,-0.05,1470.0865,-0.370,+3.66112500E-011
1470,-0.05,1470.0865,-0.360,+3.65534600E-011
1470,-0.04,1470.0865,-0.340,+3.69243400E-011
1470,-0.05,1470.0865,-0.340,+3.68520100E-011
1470,-0.05,1470.0864,-0.370,+3.69374600E-011
1470,-0.05,1470.0863,-0.390,+3.69917200E-011
1470,-0.05,1470.0863,-0.400,+3.65185800E-011
1470,-0.04,1470.0863,-0.360,+3.67596600E-011
1470,-0.04,1470.0863,-0.430,+3.68719400E-011
1470,-0.04,1470.0862,-0.320,+3.68763400E-011
1470,-0.04,1470.0862,-0.350,+3.70977000E-011
1470,-0.04,1470.0862,-0.400,+3.65383600E-011
1470,-0.04,1470.0861,-0.350,+3.66413300E-011
1470,-0.04,1470.0861,-0.430,+3.65481800E-011
1470,-0.04,1470.0860,-0.420,+3.63179400E-011
1470,-0.04,1470.0860,-0.350,+3.69129200E-011
1470,-0.04,1470.0860,-0.400,+3.67803100E-011
1470,-0.04,1470.0860,-0.390,+3.68708200E-011
1470,-0.04,1470.0859,-0.420,+3.67443600E-011
1470,-0.04,1470.0859,-0.440,+3.70227900E-011
1470,-0.04,1470.0859,-0.330,+3.69752600E-011
1470,-0.04,1470.0858,-0.400,+3.68821100E-011
1470,-0.04,1470.0858,-0.360,+3.69248700E-011
1470,-0.05,1470.0858,-0.410,+3.67641500E-011
1470,-0.05,1470.0857,-0.380,+3.66418700E-011
1470,-0.05,1470.0857,-0.410,+3.68808400E-011
1470,-0.04,1470.0856,-0.360,+3.69306500E-011
1470,-0.05,1470.0856,-0.430,+3.70261400E-011
1470,-0.04,1470.0856,-0.430,+3.65144100E-011
1470,-0.04,1470.0856,-0.330,+3.65610800E-011
1470,-0.05,1470.0855,-0.380,+3.73144800E-011
1470,-0.05,1470.0855,-0.410,+3.68816600E-011
1470,-0.05,1470.0854,-0.410,+3.65527400E-011
1470,-0.05,1470.0854,-0.360,+3.69262400E-011
1470,-0.05,1470.0854,-0.370,+3.67010700E-011
1470,-0.05,1470.0853,-0.430,+3.65848500E-011
1470,-0.05,1470.0853,-0.410,+3.67290200E-011
1470,-0.05,1470.0853,-0.420,+3.68617300E-011
1470,-0.05,1470.0852,-0.360,+3.68295700E-011
1470,-0.05,1470.0852,-0.390,+3.69103800E-011
1470,-0.04,1470.0852,-0.400,+3.68295000E-011
1470,-0.05,1470.0852,-0.400,+3.66459300E-011
1470,-0.05,1470.0851,-0.400,+3.69983200E-011
1470,-0.05,1470.0851,-0.390,+3.67246900E-011
1470,-0.04,1470.0851,-0.390,+3.65452700E-011
